Second,Throughput
0,4154
1,4132
2,2746
3,7053
4,1915
6,4595
7,6078
8,8746
9,581
11,7980
12,9927
13,2093
15,7563
16,10317
17,2120
19,4556
20,10201
21,5243
24,9526
25,9104
26,1370
28,7828
29,10246
30,1926
32,7233
33,7798
34,4969
36,4064
37,10477
38,5459
40,4474
41,10575
42,4951
44,5128
45,8345
46,6527
48,1676
49,10796
50,7528
52,669
53,10377
54,8954
56,76
57,7237
58,8595
59,4092
61,5780
62,10777
63,3443
65,6101
66,10259
67,3640
69,5534
70,9512
71,4954
73,4190
74,10624
75,5186
77,2619
78,6307
79,10426
80,648
82,7712
83,10236
84,2052
86,7902
87,8012
88,4086
90,4391
91,10820
92,4789
94,5829
95,9345
96,4826
98,3387
99,10021
100,6592
102,617
103,10686
104,8697
106,1166
107,10703
108,7769
109,362
111,6826
112,8705
113,4469
115,4582
116,11119
117,4299
119,4261
120,10097
121,5642
123,1470
124,9029
125,9501
1698625980,827
1698625978,256
1698625979,917
